"教會_堂_登記概況","教會_堂_數","已辦理財團法人登記","未辦理財團法人登記"
"106年/ 區域別總計 / 宗教別總計","3,006","1,133","1,873"
"106年/ 區域別總計 / 天主教","641","227","414"
"106年/ 區域別總計 / 基督教","2,320","884","1,436"
"106年/ 區域別總計 / 回教","4","4","-"
"106年/ 區域別總計 / 天理教","19","12","7"
"106年/ 區域別總計 / 巴哈尹教","2","2","-"
"106年/ 區域別總計 / 真光教","-","-","-"
"106年/ 區域別總計 / 山達基教會","2","2","-"
"106年/ 區域別總計 / 統一教","-","-","-"
"106年/ 區域別總計 / 摩門教","4","-","4"
"106年/ 區域別總計 / 其他","13","1","12"
"106年/ 新北市 / 宗教別總計","230","158","72"
"106年/ 新北市 / 天主教","43","37","6"
"106年/ 新北市 / 基督教","183","117","66"
"106年/ 新北市 / 回教","-","-","-"
"106年/ 新北市 / 天理教","4","4","-"
"106年/ 新北市 / 巴哈尹教","-","-","-"
"106年/ 新北市 / 真光教","-","-","-"
"106年/ 新北市 / 山達基教會","-","-","-"
"106年/ 新北市 / 統一教","-","-","-"
"106年/ 新北市 / 摩門教","-","-","-"
"106年/ 新北市 / 其他","-","-","-"
"106年/ 臺北市 / 宗教別總計","420","193","227"
"106年/ 臺北市 / 天主教","40","8","32"
"106年/ 臺北市 / 基督教","374","181","193"
"106年/ 臺北市 / 回教","1","1","-"
"106年/ 臺北市 / 天理教","2","1","1"
"106年/ 臺北市 / 巴哈尹教","1","1","-"
"106年/ 臺北市 / 真光教","-","-","-"
"106年/ 臺北市 / 山達基教會","-","-","-"
"106年/ 臺北市 / 統一教","-","-","-"
"106年/ 臺北市 / 摩門教","1","-","1"
"106年/ 臺北市 / 其他","-","-","-"
"106年/ 桃園市 / 宗教別總計","178","55","123"
"106年/ 桃園市 / 天主教","27","5","22"
"106年/ 桃園市 / 基督教","150","49","101"
"106年/ 桃園市 / 回教","1","1","-"
"106年/ 桃園市 / 天理教","-","-","-"
"106年/ 桃園市 / 巴哈尹教","-","-","-"
"106年/ 桃園市 / 真光教","-","-","-"
"106年/ 桃園市 / 山達基教會","-","-","-"
"106年/ 桃園市 / 統一教","-","-","-"
"106年/ 桃園市 / 摩門教","-","-","-"
"106年/ 桃園市 / 其他","-","-","-"
"106年/ 臺中市 / 宗教別總計","230","111","119"
"106年/ 臺中市 / 天主教","21","7","14"
"106年/ 臺中市 / 基督教","205","100","105"
"106年/ 臺中市 / 回教","1","1","-"
"106年/ 臺中市 / 天理教","2","2","-"
"106年/ 臺中市 / 巴哈尹教","-","-","-"
"106年/ 臺中市 / 真光教","-","-","-"
"106年/ 臺中市 / 山達基教會","1","1","-"
"106年/ 臺中市 / 統一教","-","-","-"
"106年/ 臺中市 / 摩門教","-","-","-"
"106年/ 臺中市 / 其他","-","-","-"
"106年/ 臺南市 / 宗教別總計","162","70","92"
"106年/ 臺南市 / 天主教","20","3","17"
"106年/ 臺南市 / 基督教","140","65","75"
"106年/ 臺南市 / 回教","-","-","-"
"106年/ 臺南市 / 天理教","1","1","-"
"106年/ 臺南市 / 巴哈尹教","1","1","-"
"106年/ 臺南市 / 真光教","-","-","-"
"106年/ 臺南市 / 山達基教會","-","-","-"
"106年/ 臺南市 / 統一教","-","-","-"
"106年/ 臺南市 / 摩門教","-","-","-"
"106年/ 臺南市 / 其他","-","-","-"
"106年/ 高雄市 / 宗教別總計","278","81","197"
"106年/ 高雄市 / 天主教","36","4","32"
"106年/ 高雄市 / 基督教","238","74","164"
"106年/ 高雄市 / 回教","1","1","-"
"106年/ 高雄市 / 天理教","1","1","-"
"106年/ 高雄市 / 巴哈尹教","-","-","-"
